Designator,Mid X,Mid Y,Rotation,Layer
D1,76.605,-80.8649,90.0,top
D10,97.33,-111.6819,270.0,top
D11,96.405,-124.6269,90.0,top
D12,96.565,-134.5869,270.0,top
D13,111.02,-90.0899,0.0,top
D14,111.02,-80.0899,0.0,top
D15,111.02,-111.4719,0.0,top
D16,111.02,-101.4719,0.0,top
D17,111.02,-123.8519,0.0,top
D18,111.02,-133.8519,0.0,top
D19,143.56,-90.0899,0.0,top
D2,76.7361,-90.0078,270.0,top
D20,145.6929,-98.903,180.0,top
D21,146.1,-80.0899,180.0,top
D22,145.94,-111.4719,180.0,top
D23,146.06,-123.8519,180.0,top
D24,146.26,-133.8519,180.0,top
D3,76.73,-102.0282,90.0,top
D4,77.14,-112.198,270.0,top
D5,76.365,-134.8269,270.0,top
D6,76.0716,-124.6269,90.0,top
D7,96.605,-90.8249,270.0,top
D8,96.605,-80.8249,90.0,top
D9,97.38,-101.1719,90.0,top
J1,70.575,-71.5107,90.0,top
J2,109.735,-71.4757,90.0,top
J3,152.11,-71.2168,90.0,top
J4,59.84,-90.0499,90.0,top
R1,70.685,-89.2249,180.0,top
R10,103.28,-100.8819,0.0,top
R11,101.565,-124.5869,0.0,top
R12,101.605,-134.5869,0.0,top
R13,118.56,-80.0899,90.0,top
R14,118.56,-90.2699,270.0,top
R15,118.69,-111.5319,270.0,top
R16,118.41,-101.5419,90.0,top
R17,118.56,-133.7019,270.0,top
R18,118.71,-123.7919,90.0,top
R19,138.56,-80.0899,90.0,top
R2,70.655,-80.8249,180.0,top
R20,138.42,-90.0899,270.0,top
R21,138.56,-111.3219,270.0,top
R22,138.52,-101.5119,90.0,top
R23,138.56,-123.8519,90.0,top
R24,138.56,-133.8519,270.0,top
R25,154.655,-90.801,180.0,top
R26,154.655,-80.551,180.0,top
R27,158.855,-90.771,270.0,top
R28,158.605,-80.301,90.0,top
R29,158.255,-121.743,90.0,top
R3,71.605,-111.6819,180.0,top
R30,153.435,-101.153,180.0,top
R31,153.435,-121.448,180.0,top
R32,158.325,-101.153,90.0,top
R33,153.325,-111.153,180.0,top
R34,158.325,-111.153,270.0,top
R35,153.325,-133.533,180.0,top
R36,158.325,-133.383,270.0,top
R37,179.655,-90.951,0.0,top
R38,179.655,-81.751,0.0,top
R39,175.455,-91.051,270.0,top
R4,71.605,-101.6819,180.0,top
R40,175.305,-81.641,90.0,top
R41,175.825,-101.153,90.0,top
R42,175.825,-121.033,90.0,top
R43,180.825,-101.153,0.0,top
R44,175.825,-111.153,270.0,top
R45,180.785,-111.153,0.0,top
R46,180.785,-121.033,0.0,top
R47,180.825,-133.533,0.0,top
R48,175.825,-133.533,270.0,top
R5,71.605,-134.5869,180.0,top
R6,71.605,-124.5869,180.0,top
R7,101.605,-80.8249,0.0,top
R8,101.995,-90.8049,0.0,top
R9,103.305,-111.4069,0.0,top
U1,82.805,-78.1999,0.0,top
U2,82.805,-99.5819,0.0,top
U3,82.805,-121.9619,0.0,top
U4,124.76,-77.4649,0.0,top
U5,124.76,-98.8469,0.0,top
U6,124.92,-121.2269,0.0,top
U7,163.355,-78.326,0.0,top
U8,163.325,-98.653,0.0,top
U9,163.93,-120.493,0.0,top
